"","species_name","plant_area","number","percent"
"348","JAPONICA","N",152,8.79120879120879
"349","JAPONICA","V",1369,79.1787160208213
"350","JAPONICUM","B",89,4.3141056713524
"351","JAPONICUM","C",99,4.79883664566166
"352","JAPONICUM","G",11,0.533204071740184
"353","JAPONICUM","N",244,11.8274357731459
"354","JAPONICUM","V",1620,78.5264178380999
"355","JEFFREYI","V",2,100
"356","JULIBRISSIN","V",1,100
"357","KEWENSIS X","B",18,15.929203539823
"358","KEWENSIS X","C",2,1.76991150442478
"359","KEWENSIS X","G",4,3.53982300884956
"360","KEWENSIS X","N",7,6.19469026548673
"361","KEWENSIS X","V",82,72.5663716814159
"362","KOBUS","B",70,2.61976047904192
"363","KOBUS","C",93,3.48053892215569
"364","KOBUS","G",6,0.224550898203593
"365","KOBUS","N",484,18.1137724550898
"366","KOBUS","V",2019,75.561377245509
"367","KOREANA","B",1,11.1111111111111
"368","KOREANA","N",2,22.2222222222222
"369","KOREANA","V",6,66.6666666666667
"370","KOUSA","B",64,6.42570281124498
"371","KOUSA","C",12,1.20481927710843
"372","KOUSA","G",7,0.70281124497992
"373","KOUSA","N",116,11.6465863453815
"374","KOUSA","V",797,80.0200803212851
"375","LAEVIS","N",2,33.3333333333333
"376","LAEVIS","V",4,66.6666666666667
"377","LASIOCARPA","V",1,100
"378","LATIFOLIA","V",8,100
"379","LAVALLEI  X","B",25,1.87406296851574
"380","LAVALLEI  X","C",12,0.899550224887556
"381","LAVALLEI  X","G",14,1.04947526236882
"382","LAVALLEI  X","N",199,14.9175412293853
"383","LAVALLEI  X","V",1084,81.2593703148426
"384","LAWSONIANA","B",167,42.9305912596401
"385","LAWSONIANA","N",69,17.7377892030848
"386","LAWSONIANA","V",153,39.3316195372751
"387","LENTAGO","V",5,100
"388","LEYLANDII","B",2,100
"389","LIKIANGENSIS","V",10,100
"390","LILIIFLORA","B",1,5.55555555555556
"391","LILIIFLORA","G",2,11.1111111111111
"392","LILIIFLORA","N",5,27.7777777777778
"393","LILIIFLORA","V",10,55.5555555555556
"394","LOEBNERI  X","B",1,5.55555555555556
"395","LOEBNERI  X","V",17,94.4444444444444
"396","LUSITANICA","B",5,9.80392156862745
"397","LUSITANICA","N",8,15.6862745098039
"398","LUSITANICA","V",38,74.5098039215686
"399","LUTEA","B",2,5.71428571428571
"400","LUTEA","N",3,8.57142857142857
"401","LUTEA","V",30,85.7142857142857
"402","MAACKII","B",2,14.2857142857143
"403","MAACKII","N",5,35.7142857142857
"404","MAACKII","V",7,50
"405","MACROCARPA","N",2,3.7037037037037
"406","MACROCARPA","V",52,96.2962962962963
"407","MACROPHYLLUM","B",68,17.7083333333333
"408","MACROPHYLLUM","C",2,0.520833333333333
"409","MACROPHYLLUM","G",1,0.260416666666667
"410","MACROPHYLLUM","N",97,25.2604166666667
"411","MACROPHYLLUM","V",216,56.25
"412","MARIANA","B",5,50
"413","MARIANA","V",5,50
"414","MAS","V",23,100
"415","MATSUDANA","N",1,16.6666666666667
"416","MATSUDANA","V",5,83.3333333333333
"417","MAXIMA","B",4,30.7692307692308
"418","MAXIMA","N",3,23.0769230769231
"419","MAXIMA","V",6,46.1538461538462
"420","MENZIESII","B",296,43.2748538011696
"421","MENZIESII","C",3,0.43859649122807
"422","MENZIESII","N",214,31.2865497076023
"423","MENZIESII","V",171,25
"424","MERTENSIANA","B",2,22.2222222222222
"425","MERTENSIANA","C",1,11.1111111111111
"426","MERTENSIANA","N",1,11.1111111111111
"427","MERTENSIANA","V",5,55.5555555555556
"428","MESERVEAE","B",4,100
"429","MICROMALUS   X","B",3,75
"430","MICROMALUS   X","V",1,25
"431","MIYABEI","B",1,5.26315789473684
"432","MIYABEI","N",1,5.26315789473684
"433","MIYABEI","V",17,89.4736842105263
"434","MOLLIS","V",21,100
"435","MONADELPHA","C",1,2.7027027027027
"436","MONADELPHA","N",7,18.9189189189189
"437","MONADELPHA","V",29,78.3783783783784
"438","MONOGYNA","B",5,9.43396226415094
"439","MONOGYNA","V",48,90.5660377358491
"440","MONTICOLA","B",9,75
"441","MONTICOLA","N",1,8.33333333333333
"442","MONTICOLA","V",2,16.6666666666667
"443","MORDENSIS","B",16,2.4132730015083
"444","MORDENSIS","C",1,0.150829562594268
"445","MORDENSIS","N",106,15.9879336349925
"446","MORDENSIS","V",540,81.447963800905
"447","MUGO","N",3,37.5
"448","MUGO","V",5,62.5
"449","MYRSINIFOLIA","B",1,33.3333333333333
"450","MYRSINIFOLIA","V",2,66.6666666666667
"451","NEGUNDO","B",12,6.59340659340659
"452","NEGUNDO","C",4,2.1978021978022
"453","NEGUNDO","N",16,8.79120879120879
"454","NEGUNDO","V",150,82.4175824175824
"455","NIGRA","B",104,24.5862884160757
"456","NIGRA","C",3,0.709219858156028
"457","NIGRA","N",113,26.7139479905437
"458","NIGRA","V",203,47.9905437352246
"459","NIGRUM","B",3,3.79746835443038
"460","NIGRUM","C",3,3.79746835443038
"461","NIGRUM","N",4,5.06329113924051
"462","NIGRUM","V",69,87.3417721518987
"463","NOBILIS","B",1,25
"464","NOBILIS","V",3,75
"465","NOOTKATENSIS","B",37,24.025974025974
"466","NOOTKATENSIS","N",5,3.24675324675325
"467","NOOTKATENSIS","V",112,72.7272727272727
"468","NORDMANNIANA","N",1,100
"469","NUTTALLII","B",49,9.979633401222
"470","NUTTALLII","C",3,0.610997963340122
"471","NUTTALLII","G",2,0.407331975560081
"472","NUTTALLII","N",114,23.2179226069246
"473","NUTTALLII","V",323,65.7841140529532
"474","OBASSIA","B",2,2.40963855421687
"475","OBASSIA","N",16,19.2771084337349
"476","OBASSIA","V",65,78.3132530120482
"477","OBTUSA","B",3,14.2857142857143
"478","OBTUSA","C",1,4.76190476190476
"479","OBTUSA","N",2,9.52380952380952
"480","OBTUSA","V",15,71.4285714285714
"481","OCCIDENTALIS","B",98,24.8730964467005
"482","OCCIDENTALIS","C",11,2.79187817258883
"483","OCCIDENTALIS","N",91,23.0964467005076
"484","OCCIDENTALIS","V",194,49.238578680203
"485","OFFICIANALIS","B",12,40
"486","OFFICIANALIS","N",18,60
"487","OFFICINALIS","B",2,25
"488","OFFICINALIS","N",4,50
"489","OFFICINALIS","V",2,25
"490","OMORIKA","B",6,10.9090909090909
"491","OMORIKA","N",2,3.63636363636364
"492","OMORIKA","V",47,85.4545454545455
"493","ORIENTALIS","B",1,7.69230769230769
"494","ORIENTALIS","N",7,53.8461538461538
"495","ORIENTALIS","V",5,38.4615384615385
"496","ORNUS","B",37,2.77153558052434
"497","ORNUS","C",12,0.898876404494382
"498","ORNUS","G",9,0.674157303370786
"499","ORNUS","N",129,9.66292134831461
"500","ORNUS","V",1148,85.9925093632959
"501","OVATA","N",1,100
"502","OXYACANTHA","B",47,6.1038961038961
"503","OXYACANTHA","C",4,0.519480519480519
"504","OXYACANTHA","G",3,0.38961038961039
"505","OXYACANTHA","N",53,6.88311688311688
"506","OXYACANTHA","V",663,86.1038961038961
"507","OXYCARPA","B",11,1.21012101210121
"508","OXYCARPA","C",117,12.8712871287129
"509","OXYCARPA","G",1,0.11001100110011
"510","OXYCARPA","N",48,5.28052805280528
"511","OXYCARPA","V",732,80.5280528052805
"512","PADUS","N",8,25.8064516129032
"513","PADUS","V",23,74.1935483870968
"514","PALMATUM","B",98,9.74155069582505
"515","PALMATUM","C",31,3.08151093439364
"516","PALMATUM","G",1,0.099403578528827
"517","PALMATUM","N",169,16.7992047713718
"518","PALMATUM","V",707,70.2783300198807
"519","PALUSTRIS","B",156,9.72568578553616
"520","PALUSTRIS","C",133,8.29177057356608
"521","PALUSTRIS","G",50,3.11720698254364
"522","PALUSTRIS","N",92,5.7356608478803
"523","PALUSTRIS","V",1173,73.1296758104738
"524","PANICULATA","V",38,100
"525","PAPYRIFERA","B",17,12.3188405797101
"526","PAPYRIFERA","N",12,8.69565217391304
"527","PAPYRIFERA","V",109,78.9855072463768
"528","PARVIFLORA","V",3,100
"529","PAVIA","N",1,7.69230769230769
"530","PAVIA","V",12,92.3076923076923
"531","PENDULA","B",154,11.5702479338843
"532","PENDULA","C",13,0.976709241172051
"533","PENDULA","G",1,0.0751314800901578
"534","PENDULA","N",100,7.51314800901578
"535","PENDULA","V",1063,79.8647633358377
"536","PENNSYLVANICA","B",22,1.36901057871811
"537","PENNSYLVANICA","C",51,3.17361543248289
"538","PENNSYLVANICA","G",1,0.0622277535780958
"539","PENNSYLVANICA","N",318,19.7884256378345
"540","PENNSYLVANICA","V",1215,75.6067205973864
"541","PENNSYLVANICUM","C",3,4.83870967741935
"542","PENNSYLVANICUM","V",59,95.1612903225807
"543","PERSICA","B",47,2.52145922746781
"544","PERSICA","C",278,14.9141630901288
"545","PERSICA","G",38,2.03862660944206
"546","PERSICA","N",178,9.54935622317597
"547","PERSICA","V",1323,70.9763948497854
"548","PHAENOPYRUM","B",29,6.29067245119306
"549","PHAENOPYRUM","C",5,1.08459869848156
"550","PHAENOPYRUM","N",72,15.6182212581345
"551","PHAENOPYRUM","V",355,77.0065075921909
"552","PHELLOS","B",8,2.54777070063694
"553","PHELLOS","C",8,2.54777070063694
"554","PHELLOS","N",94,29.9363057324841
"555","PHELLOS","V",204,64.968152866242
"556","PISIFERA","B",24,34.2857142857143
"557","PISIFERA","N",29,41.4285714285714
"558","PISIFERA","V",17,24.2857142857143
"559","PLATANOIDES","B",595,5.0219446320054
"560","PLATANOIDES","C",458,3.86563133018231
"561","PLATANOIDES","G",243,2.05097906819716
"562","PLATANOIDES","N",898,7.57933828494261
"563","PLATANOIDES","V",9654,81.4821066846725
"564","PLATYPHYLLA","V",2,100
"565","PLATYPHYLLOS","B",2,11.7647058823529
"566","PLATYPHYLLOS","N",6,35.2941176470588
"567","PLATYPHYLLOS","V",9,52.9411764705882
